absolute_course_url,course_name,subject_name
https://www.class-central.com/mooc/3393/udacity-ios-networking-with-swift,iOS Networking with Swift,Programming 
https://www.class-central.com/mooc/2590/ionis-python-pour-les-scientifiques,Python pour les scientifiques,Programming 
https://www.class-central.com/mooc/3523/udacity-authentication-authorization-oauth,Authentication & Authorization: OAuth,Programming 
https://www.class-central.com/mooc/3528/udacity-a-b-testing,A/B Testing,Programming 
https://www.class-central.com/mooc/3524/udacity-browser-rendering-optimization,Browser Rendering Optimization,Programming 
https://www.class-central.com/mooc/3525/udacity-developing-scalable-apps-in-python,Developing Scalable Apps in Python,Programming 
https://www.class-central.com/mooc/3526/udacity-ios-persistence-and-core-data,iOS Persistence and Core Data,Programming 
https://www.class-central.com/mooc/3527/udacity-how-to-make-an-ios-app,How to Make an iOS App,Programming 
https://www.class-central.com/mooc/3455/udacity-android-performance,Android Performance,Programming 
https://www.class-central.com/mooc/3580/udacity-advanced-android-app-development,Advanced Android App Development,Programming 
https://www.class-central.com/mooc/3579/udacity-android-development-for-beginners,Android Development for Beginners,Programming 
https://www.class-central.com/mooc/3581/udacity-material-design-for-android-developers,Material Design for Android Developers,Programming 
https://www.class-central.com/mooc/3582/udacity-android-ubiquitous-computing,Android Ubiquitous Computing,Programming 
https://www.class-central.com/mooc/3583/udacity-google-play-services,Google Play Services,Programming 
https://www.class-central.com/mooc/3584/udacity-gradle-for-android-and-java,Gradle for Android and Java,Programming 
https://www.class-central.com/mooc/3342/edx-introduction-to-office-365-apis,Introduction to Office 365 APIs,Programming 
https://www.class-central.com/mooc/5708/debugging-on-sap,Debugging on SAP,Programming 
https://www.class-central.com/mooc/3701/udacity-monetize-your-android-app-with-ads,Monetize Your Android App with Ads,Programming 
https://www.class-central.com/mooc/3699/udacity-google-location-services-on-android,Google Location Services on Android,Programming 
https://www.class-central.com/mooc/3702/udacity-add-google-maps-to-your-android-app,Add Google Maps to your Android App,Programming 
https://www.class-central.com/mooc/3703/udacity-add-google-sign-in-to-your-android-apps,Add Google Sign-In to your Android Apps,Programming 
https://www.class-central.com/mooc/3700/udacity-google-analytics-for-android,Google Analytics for Android,Programming 
https://www.class-central.com/mooc/3717/udacity-xcode-debugging,Xcode Debugging,Programming 
https://www.class-central.com/mooc/3515/openhpi-java-fur-einsteiger,Java für Einsteiger,Programming 
https://www.class-central.com/mooc/3925/udacity-learn-swift-programming-syntax,Learn Swift Programming Syntax,Programming 
https://www.class-central.com/mooc/2056/opensap-next-steps-in-sap-hana-cloud-platform,Next Steps in SAP HANA Cloud Platform,Programming 
https://www.class-central.com/mooc/3663/opensap-application-development-for-sap-business-bydesign,Application Development for SAP Business ByDesign,Programming 
https://www.class-central.com/mooc/1797/open-education-by-blackboard-introduction-to-vba-excel-programming,Introduction to VBA/Excel Programming,Programming 
https://www.class-central.com/mooc/4071/udacity-learn-backbone-js,Learn Backbone.js,Programming 
https://www.class-central.com/mooc/3996/edx-developing-international-software-part-1,"Developing International Software, Part 1",Programming 
https://www.class-central.com/mooc/4108/udacity-android-tv-and-google-cast-development,Android TV and Google Cast Development,Programming 
https://www.class-central.com/mooc/4109/udacity-android-auto-development,Android Auto Development,Programming 
https://www.class-central.com/mooc/4107/udacity-android-wear-development,Android Wear Development,Programming 
https://www.class-central.com/mooc/4506/multi-language-programming-with-ada,Multi-Language Programming with Ada,Programming 
https://www.class-central.com/mooc/4419/udacity-how-to-create-anything-in-android,How to create <anything> in Android,Programming 
https://www.class-central.com/mooc/4051/edx-programacion-orientada-a-objetos,Programación Orientada a Objetos,Programming 
https://www.class-central.com/mooc/2147/edx-introduction-to-functional-programming,Introduction to Functional Programming,Programming 
https://www.class-central.com/mooc/4856/udacity-2d-game-development-with-libgdx,2D Game Development with libGDX,Programming 
https://www.class-central.com/mooc/4860/udacity-writing-readmes,Writing READMEs,Programming 
https://www.class-central.com/mooc/4887/udacity-designing-restful-apis,Designing RESTful APIs,Programming 
https://www.class-central.com/mooc/3516/openhpi-java-workshop-einfuhrung-in-eine-java-programmierumgebung-ide,Java Workshop: Einführung in eine Java- Programmierumgebung (IDE),Programming 
https://www.class-central.com/mooc/4904/edx-java-java-programming,Java程序设计 | Java Programming,Programming 
https://www.class-central.com/mooc/4952/udacity-building-high-conversion-web-forms,Building High Conversion Web Forms,Programming 
https://www.class-central.com/mooc/5055/udacity-firebase-essentials-for-android,Firebase Essentials For Android,Programming 
https://www.class-central.com/mooc/5056/udacity-how-to-make-a-platformer-using-libgdx,How to Make a Platformer Using libGDX,Programming 
https://www.class-central.com/mooc/3082/udacity-javascript-design-patterns,JavaScript Design Patterns,Programming 
https://www.class-central.com/mooc/2866/opensap-extending-sap-products-with-sap-hana-cloud-platform,Extending SAP Products with SAP HANA Cloud Platform,Programming 
https://www.class-central.com/mooc/4778/opensap-developing-mobile-apps-with-sap-hana-cloud-platform,Developing Mobile Apps with SAP HANA Cloud Platform,Programming 
https://www.class-central.com/mooc/2038/openhpi-knowledge-engineering-with-semantic-web-technologies,Knowledge Engineering with Semantic Web Technologies,Programming 
https://www.class-central.com/mooc/2668/openhpi-spielend-programmieren-lernen,Spielend Programmieren lernen!,Programming 
https://www.class-central.com/mooc/3695/edx-learn-to-program-using-python,Learn to Program Using Python,Programming 
https://www.class-central.com/mooc/5680/udacity-javascript-promises,JavaScript Promises,Programming 
https://www.class-central.com/mooc/5679/udacity-offline-web-applications,Offline Web Applications,Programming 
https://www.class-central.com/mooc/1523/edx-mobile-application-experiences-part-1-from-a-domain-to-an-app-idea,Mobile Application Experiences Part 1: From a Domain to an App Idea,Programming 
https://www.class-central.com/mooc/4812/edx-the-software-architect-code-building-the-digital-world,The Software Architect Code: Building the Digital World,Programming 
https://www.class-central.com/mooc/5802/udacity-grand-central-dispatch-gcd,Grand Central Dispatch (GCD),Programming 
